index,zenith_deg,relative_azimuth_deg,absolute_azimuth_deg,reference_intensity,model_intensity,normalized_reference,normalized_model,reference_dop,model_dop,dop_abs_error,reference_aop_deg,model_aop_deg,aop_abs_error_deg,signed_dolp_bias,first_frac,second_frac,higher_frac,second_rr_frac,second_ar_frac,second_ra_frac,second_aa_frac,model_q,model_u,model_v,model_calibration_applied,model_calibration_intensity_gain,model_calibration_dolp_scale,model_calibration_aop_offset_deg,raw_model_intensity,raw_model_dop,raw_model_aop_deg,raw_model_q,raw_model_u,raw_model_v
38,7.252809,34.939569,330.924663,802.6667,802.6667,0.03462676220086426,0.03462676220086426,0.41843,0.4184299999999999,1.1102230246251565e-16,-37.79504,-37.79504,0.0,-1.1102230246251565e-16,0.73619300831,0.25748951194,0.0063174797503,0.75042235642,0.098362693227,0.14062382625,0.010591124107,83.58126406871764,-325.29370709852105,0.0,1.0,3521783788.6893787,0.5429090824238392,16.500847933932626,2.2791481481e-07,0.7707183643565192,-54.295887933932626,-5.6003899587e-08,-1.664912701e-07,0.0
39,7.449645,45.008987,340.994081,818.5806,818.5806,0.035313282310628795,0.035313282310628795,0.454538,0.45453799999999994,5.551115123125783e-17,-48.056032,-48.056032,0.0,-5.551115123125783e-17,0.72400456862,0.2740025879,0.0019928434832,0.73558650433,0.1172891761,0.13618036399,0.010943955582,-39.616207978505884,-369.960940477801,0.0,1.0,3562739795.0801916,0.5921702588690858,-3.446855898961907,2.2976154507e-07,0.7675799201197085,-44.609176101038095,2.4058910305e-09,-1.7634393718e-07,0.0
40,7.389299,55.12179,351.106884,809.5484,809.5484,0.03492363634481179,0.03492363634481179,0.467499,0.467499,0.0,-56.83129,-56.83129,0.0,0.0,0.71327053513,0.2850135314,0.0017159334633,0.71837110308,0.14201756428,0.12828233494,0.0113289977,-151.89602712095873,-346.6437513784769,0.0,1.0,3516754690.7826557,0.597844582542338,-21.371449945866324,2.3019757452e-07,0.7819741345015748,-35.45984005413368,5.884358974e-08,-1.7011910444e-07,0.0
41,7.378459,64.990252,0.975346,764.9032,764.9032,0.032997657948286775,0.032997657948286775,0.525544,0.5255440000000001,1.1102230246251565e-16,-69.663662,-69.663662,0.0,1.1102230246251565e-16,0.62054931591,0.37660471474,0.0028459693531,0.64507159628,0.24884523313,0.091139376587,0.014943794001,-304.88761659855544,-261.9918555245397,0.0,1.0,2929137099.128615,0.6558919338265962,-40.95673972504285,2.611360186e-07,0.801266142935892,-28.70692227495715,1.1268950598e-07,-1.7630151119e-07,0.0
42,7.324242,75.169393,11.154487,748.129,748.129,0.03227402479580924,0.03227402479580924,0.487612,0.48761200000000016,1.6653345369377348e-16,-77.460619,-77.460619,0.0,1.6653345369377348e-16,0.54311308215,0.45646798841,0.00041892944662,0.59895044885,0.31145651983,0.071728733119,0.0178642982,-330.40582720502255,-154.62407830238377,0.0,1.0,2543050889.327906,0.5895162062354605,-56.843057340974056,2.9418561899e-07,0.8271392624026376,-20.617561659025938,1.8298869351e-07,-1.6039274259e-07,0.0
43,7.507604,85.099604,21.084698,762.4,762.4,0.03288967077111697,0.03288967077111697,0.474459,0.4744590000000001,5.551115123125783e-17,89.494054,89.49405400000002,1.4210854715202004e-14,5.551115123125783e-17,0.2997178165,0.70011191395,0.00017026955128,0.53186586295,0.40461413762,0.042052465983,0.02146753345,-361.67113065789266,6.388082703071685,0.0,1.0,1448578575.9661524,0.5406818474402758,-75.06854721257741,5.2630904022e-07,0.8775197507484458,-15.437398787422575,3.9639862794e-07,-2.3700293075e-07,0.0
44,7.378463,95.073542,31.058636,733.1613,733.1613,0.03162832342487424,0.03162832342487424,0.505513,0.505513,0.0,82.704926,82.70492600000001,1.4210854715202004e-14,0.0,0.31050114249,0.68910900195,0.0003898555595,0.54629484745,0.38699413407,0.044532557728,0.022178460755,-358.6709167776084,93.36092090290217,0.0,1.0,1462228575.7251737,0.5731226172729004,87.28089082189807,5.0139992623e-07,0.8820328927261526,-4.575964821898066,4.3662139386e-07,-7.0341357054e-08,0.0
45,7.294968,104.30166,40.286754,718.7692,718.7692,0.0310074532376956,0.0310074532376956,0.496194,0.49619399999999986,1.6653345369377348e-16,73.589794,73.589794,0.0,-1.6653345369377348e-16,0.24351574855,0.75482130417,0.0016629472815,0.5110123515,0.41518056265,0.044408370237,0.029398715611,-299.7183609842696,193.3064611289163,0.0,1.0,1135791882.0440288,0.558374276989257,69.45208779704328,6.3283530316e-07,0.8886405059263621,4.137706202956722,5.5650756056e-07,8.0941789267e-08,0.0
46,7.317628,114.609021,50.594115,734.0606,734.0606,0.03166711891401965,0.03166711891401965,0.527794,0.527794,0.0,62.015392,62.015392,0.0,0.0,0.18779957203,0.81132709737,0.00087333060402,0.51835511193,0.40667501447,0.044723354054,0.030246519545,-216.82220310411822,321.0798833698125,0.0,1.0,904106030.647535,0.5876040146198137,47.79079252871179,8.1191870767e-07,0.8982137406625592,14.224599471288204,6.4120898643e-07,3.4741230092e-07,0.0
47,7.373759,124.945144,60.930238,716.3871,716.3871,0.030904690272396708,0.030904690272396708,0.541597,0.541597,0.0,51.034829,51.034829,0.0,0.0,0.17816960646,0.82085574135,0.00097465218925,0.53283603483,0.39213125933,0.045662600248,0.029370105591,-81.12964171708558,379.4161701095522,0.0,1.0,844667204.4958547,0.6013643877555016,26.113473484998032,8.4812941261e-07,0.9006136895159788,24.92135551500197,4.9258939464e-07,5.8378299817e-07,0.0
48,7.483038,134.960077,70.945171,707.2,707.2,0.03050836197446737,0.03050836197446737,0.503755,0.5037550000000001,1.1102230246251565e-16,41.536326,41.53632600000001,7.105427357601002e-15,1.1102230246251565e-16,0.19552613651,0.80382362752,0.00065023597177,0.54728681514,0.37717213568,0.047281156173,0.028259893007,42.968222722543274,353.6548299779225,0.0,1.0,922037354.610795,0.5612110333271451,6.0646012069602335,7.6699712486e-07,0.8976213404313945,35.47172479303977,2.2478726615e-07,6.5074245232e-07,0.0
49,7.37195,144.912575,80.897669,704.5161,704.5161,0.030392579462160705,0.030392579462160705,0.5311,0.5310999999999999,1.1102230246251565e-16,29.137855,29.137855,0.0,-1.1102230246251565e-16,0.21972468126,0.77988508127,0.00039023746613,0.56148828526,0.36210225463,0.049276589427,0.027132870681,196.74988223351775,318.2633355645387,0.0,1.0,1038133122.1394733,0.5953244006703798,-16.569224344651847,6.786375321e-07,0.8921186489281165,45.707079344651845,-1.4941421288e-08,6.0524079886e-07,0.0
50,7.44741,155.135172,91.120266,711.5,711.5,0.030693862478554202,0.030693862478554202,0.529457,0.529457,0.0,21.036114,21.036113999999994,7.105427357601002e-15,0.0,0.24882114304,0.74807907902,0.0030997779436,0.57665527976,0.34581055846,0.051601861164,0.025932300621,279.63110552640165,252.4199991100152,0.0,1.0,1192562956.7565675,0.5995689319891935,-35.24224423992568,5.966142047e-07,0.8830627668505392,56.27835823992568,-2.0209764446e-07,4.8654407436e-07,0.0
51,7.352167,165.181101,101.166195,721.8667,721.8666999999999,0.031141078310116296,0.03114107831011629,0.557626,0.557626,0.0,8.530561,8.530560999999992,8.881784197001252e-15,0.0,0.27216701841,0.72368108538,0.0041518962081,0.5907482869,0.33082958424,0.053579851278,0.024842277578,384.81715503820254,118.09944434692852,0.0,1.0,1326891781.9929867,0.6369389512927508,-57.84464730810698,5.4402831474e-07,0.8754779384558365,66.37520830810698,-3.2330501192e-07,3.4974428948e-07,0.0
