index,zenith_deg,relative_azimuth_deg,intensity_gain,dolp_scale,aop_offset_deg,source_reference_intensity,source_model_intensity,source_reference_dop,source_model_dop,source_reference_aop_deg,source_model_aop_deg
304,40.309279,175.037259,1.29303073045753050e+09,1.26633242507901378e+00,8.70385874209675450e+01,8.84894099999999980e+02,6.84356588869999960e-07,3.97544999999999982e-01,3.13934155145079608e-01,1.72577699999999989e+00,-8.53128104209675513e+01
305,40.30255,184.956326,9.31311238111518264e+08,1.25658093081963584e+00,6.97179247538856117e+01,8.71529400000000010e+02,9.35808958739999950e-07,4.23549000000000009e-01,3.37064640734066945e-01,-7.46323899999999973e+00,-7.71811637538856132e+01
306,40.338176,195.060137,1.14666188991277671e+09,1.33021054180152976e+00,5.24909343419931815e+01,8.57097099999999955e+02,7.47471514959999980e-07,4.58141000000000020e-01,3.44412396085457928e-01,-1.74113280000000010e+01,-6.99022623419931790e+01
307,40.344587,205.054938,2.47359481111530972e+09,1.44322729536868466e+00,3.15712139343192248e+01,8.53065100000000029e+02,3.44868567870000014e-07,4.91914000000000018e-01,3.40843054713939830e-01,-2.94192779999999985e+01,-6.09904919343192233e+01
308,40.307999,214.990546,4.07521788461750555e+09,1.46840287771849121e+00,8.12437989867931520e+00,8.46222200000000043e+02,2.07650786769999988e-07,5.30218999999999996e-01,3.61085508647204345e-01,-4.01973259999999968e+01,-4.83217058986793120e+01
309,40.283646,225.00526,4.61644290631880760e+09,1.28052244064907739e+00,-1.48981228524514151e+01,8.60188200000000052e+02,1.86331384890000010e-07,5.58687999999999962e-01,4.36296922462998393e-01,-5.24550690000000017e+01,-3.75569461475485866e+01
310,40.293331,235.000951,4.41664153140016270e+09,1.08239982378985711e+00,-3.50944296220426395e+01,8.88842099999999959e+02,2.01248413230000010e-07,5.51486000000000032e-01,5.09503039338140562e-01,-6.43134579999999971e+01,-2.92190283779573541e+01
311,40.272535,245.045451,4.10940807768811941e+09,9.13494079129688497e-01,-5.58057057178110298e+01,9.28809499999999957e+02,2.26020264339999991e-07,5.29604999999999992e-01,5.79757452291939979e-01,-7.77155840000000069e+01,-2.19098782821889770e+01
312,40.269565,255.019086,3.69875288179449987e+09,7.59114071343744645e-01,-7.48047328680004853e+01,9.97741200000000049e+02,2.69750705680000015e-07,4.83864999999999990e-01,6.37407496798850115e-01,8.98553050000000013e+01,-1.53399621319995099e+01
313,40.316147,265.004453,3.11107736347261906e+09,6.04496506185806082e-01,8.76120102684459141e+01,1.08480999999999995e+03,3.48692711000000021e-07,4.18476999999999988e-01,6.92273645451593977e-01,7.73398870000000045e+01,-1.02721232684459167e+01
314,40.341593,274.956903,2.45258912569739056e+09,4.81903765005817331e-01,7.10892491601953083e+01,1.22615599999999995e+03,4.99943503439999963e-07,3.48326999999999998e-01,7.22814439924110430e-01,6.47935779999999966e+01,-6.29567116019530815e+00
315,40.327932,284.887782,1.77513351026771307e+09,3.85491998178772943e-01,5.45113802707583517e+01,1.36109500000000003e+03,7.66756411350000018e-07,2.79839000000000004e-01,7.25926870913216504e-01,5.31389020000000016e+01,-1.37247827075835205e+00
316,40.328189,294.851905,2.16905065283756208e+09,3.30963678187546850e-01,3.47587816070263713e+01,1.52818499999999995e+03,7.04540946519999957e-07,2.05100000000000005e-01,6.19705464730109123e-01,4.32799539999999965e+01,8.52117239297362694e+00
317,40.315837,304.980495,2.99360027606678200e+09,3.71242082526210770e-01,4.48698422406749131e+00,1.72743499999999995e+03,5.77042637859999984e-07,1.63621999999999990e-01,4.40742059430850763e-01,3.04216170000000012e+01,2.59346327759325099e+01
318,40.244158,315.018263,2.95451764680671120e+09,3.15007472607626182e-01,-1.95583657477612576e+01,1.91209400000000005e+03,6.47176368049999993e-07,1.11555000000000001e-01,3.54134456165594191e-01,2.24152890000000014e+01,4.19736547477612589e+01
319,40.329683,325.051647,2.59364248397899818e+09,2.91995694311310339e-01,-3.22870098697058410e+01,2.09707600000000002e+03,8.08544744680000025e-07,9.00730000000000003e-02,3.08473726684370009e-01,2.25461470000000013e+01,5.48331568697058458e+01
320,40.274537,335.045669,2.17330750493518305e+09,2.61671831917542175e-01,-4.66957590177216417e+01,2.19947299999999996e+03,1.01203948129999998e-06,7.52749999999999947e-02,2.87669480694126067e-01,2.20119250000000015e+01,6.87076840177216468e+01
321,40.336486,345.008454,1.71332036553957844e+09,2.99555926004538009e-01,-6.03892173499071419e+01,2.16682999999999993e+03,1.26469634260000003e-06,8.57649999999999940e-02,2.86307138516434245e-01,2.15436669999999992e+01,8.19328843499071411e+01
322,40.292728,354.996198,1.36568246016456079e+09,3.78774467616335597e-01,-7.36507139969655071e+01,2.07002399999999989e+03,1.51574327150000005e-06,1.14108000000000001e-01,3.01255786109588364e-01,2.00866259999999990e+01,-8.62626600030344974e+01
