zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
21.405445,174.903508,7.183111e+02,4.003348e+02,-4.845913e+00,0.557369,-0.346756
21.368321,184.993835,7.177634e+02,3.616205e+02,-1.519830e+02,0.546504,-11.398099
21.448675,194.918175,7.072184e+02,2.981199e+02,-2.540040e+02,0.553796,-20.215826
21.445552,204.828230,7.160851e+02,1.747304e+02,-3.590823e+02,0.557668,-32.026160
21.407074,215.014276,7.339780e+02,3.253666e+01,-3.992095e+02,0.545702,-42.670268
21.366307,225.039568,7.465495e+02,-1.237170e+02,-3.935783e+02,0.552629,-53.724979
21.412388,235.050572,7.588444e+02,-2.560351e+02,-3.121965e+02,0.532070,-64.677739
21.378044,245.005108,7.911579e+02,-3.297423e+02,-2.036767e+02,0.489883,-74.148511
21.387872,255.098177,8.171685e+02,-3.655122e+02,-6.469070e+01,0.454243,-84.981680
21.371938,265.024514,8.743371e+02,-3.762787e+02,7.142113e+01,0.438043,84.626294
21.383829,275.013720,9.247473e+02,-2.964717e+02,2.069325e+02,0.390969,72.542786
21.401727,285.230810,9.746237e+02,-2.138423e+02,2.628895e+02,0.347703,64.562982
21.434643,295.072562,1.026759e+03,-1.089834e+02,3.079845e+02,0.318184,54.743419
21.423298,304.951047,1.068484e+03,8.420186e+00,3.118474e+02,0.291966,44.226667
21.336339,314.997611,1.121511e+03,1.064147e+02,2.654351e+02,0.254988,34.076916
21.390824,325.028039,1.150505e+03,1.721242e+02,2.324628e+02,0.251411,26.741181
21.372545,335.022992,1.172696e+03,2.102354e+02,2.047239e+02,0.250232,22.119521
21.416271,345.031853,1.174066e+03,2.708211e+02,1.253622e+02,0.254184,12.419629
21.353147,355.027050,1.147556e+03,2.679926e+02,3.400602e+01,0.235406,3.615853
26.113854,4.999927,1.237333e+03,2.887756e+02,1.288250e+01,0.233618,1.277158
26.107117,14.717810,1.188952e+03,3.252174e+02,-1.125370e+02,0.289446,-9.543739
26.101811,24.939149,1.135150e+03,2.681402e+02,-2.029592e+02,0.296252,-18.561306
26.126499,35.043097,1.048216e+03,2.090139e+02,-3.027232e+02,0.350948,-27.688517
26.155163,45.014630,9.754862e+02,6.354477e+01,-3.768894e+02,0.391814,-40.214877
