wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
425,40,1.348870819e-01,-1.328635494e-03,1.348870819e-01,1.348805382e-01,0.000000000e+00,1.348805382e-01
425,45,1.046050187e-01,-1.290685333e-03,1.046050187e-01,1.045970557e-01,0.000000000e+00,1.045970557e-01
425,50,8.290343837e-02,-1.233805222e-03,8.290343837e-02,8.289425685e-02,0.000000000e+00,8.289425685e-02
425,55,6.701769096e-02,-1.168337319e-03,6.701769096e-02,6.700750622e-02,0.000000000e+00,6.700750622e-02
425,60,5.516875765e-02,-1.099121722e-03,5.516875765e-02,5.515780772e-02,0.000000000e+00,5.515780772e-02
425,65,4.618233678e-02,-1.028255862e-03,4.618233678e-02,4.617088823e-02,0.000000000e+00,4.617088823e-02
425,70,3.926585277e-02,-9.566618533e-04,3.926585277e-02,3.925419713e-02,0.000000000e+00,3.925419713e-02
425,75,3.387355728e-02,-8.848308379e-04,3.387355728e-02,3.386199872e-02,0.000000000e+00,3.386199872e-02
425,80,2.962273449e-02,-8.131491787e-04,2.962273449e-02,2.961157184e-02,0.000000000e+00,2.961157184e-02
425,85,2.624045206e-02,-7.420341517e-04,2.624045206e-02,2.622995825e-02,0.000000000e+00,2.622995825e-02
425,90,2.352902234e-02,-6.719772226e-04,2.352902234e-02,2.351942472e-02,0.000000000e+00,2.351942472e-02
425,95,2.134316996e-02,-6.035347640e-04,2.134316996e-02,2.133463498e-02,0.000000000e+00,2.133463498e-02
425,100,1.957466451e-02,-5.372866342e-04,1.957466451e-02,1.956728938e-02,0.000000000e+00,1.956728938e-02
425,105,1.814179691e-02,-4.737774871e-04,1.814179691e-02,1.813560945e-02,0.000000000e+00,1.813560945e-02
425,110,1.698204931e-02,-4.134534449e-04,1.698204931e-02,1.697701549e-02,0.000000000e+00,1.697701549e-02
425,115,1.604690240e-02,-3.566059142e-04,1.604690240e-02,1.604293953e-02,0.000000000e+00,1.604293953e-02
425,120,1.529809493e-02,-3.033367429e-04,1.529809493e-02,1.529508729e-02,0.000000000e+00,1.529508729e-02
425,125,1.470488648e-02,-2.535655993e-04,1.470488648e-02,1.470270013e-02,0.000000000e+00,1.470270013e-02
425,130,1.424202884e-02,-2.071062974e-04,1.424202884e-02,1.424052290e-02,0.000000000e+00,1.424052290e-02
425,135,1.388825434e-02,-1.638298102e-04,1.388825434e-02,1.388728801e-02,0.000000000e+00,1.388728801e-02
425,140,1.362516020e-02,-1.238915213e-04,1.362516020e-02,1.362459693e-02,0.000000000e+00,1.362459693e-02
425,145,1.343641604e-02,-8.792929113e-05,1.343641604e-02,1.343612832e-02,0.000000000e+00,1.343612832e-02
425,150,1.330725262e-02,-5.707608082e-05,1.330725262e-02,1.330713021e-02,0.000000000e+00,1.330713021e-02
425,155,1.322420659e-02,-3.265004197e-05,1.322420659e-02,1.322416629e-02,0.000000000e+00,1.322416629e-02
425,160,1.317509739e-02,-1.554151324e-05,1.317509739e-02,1.317508823e-02,0.000000000e+00,1.317508823e-02
425,165,1.314920219e-02,-5.564565176e-06,1.314920219e-02,1.314920101e-02,0.000000000e+00,1.314920101e-02
425,170,1.313757509e-02,-1.205105787e-06,1.313757509e-02,1.313757504e-02,0.000000000e+00,1.313757504e-02
425,175,1.313343572e-02,-7.971312550e-08,1.313343572e-02,1.313343572e-02,0.000000000e+00,1.313343572e-02
425,180,1.313253831e-02,-0.000000000e+00,1.313253831e-02,1.313253831e-02,0.000000000e+00,1.313253831e-02
450,0,2.428135932e+00,-0.000000000e+00,2.428135932e+00,2.428135932e+00,0.000000000e+00,2.428135932e+00
450,5,1.952421836e+00,-1.939033598e-05,1.952421836e+00,1.952421836e+00,0.000000000e+00,1.952421836e+00
450,10,1.225770853e+00,-1.773554971e-04,1.225770853e+00,1.225770840e+00,0.000000000e+00,1.225770840e+00
450,15,7.581632546e-01,-4.780657773e-04,7.581632546e-01,7.581631038e-01,0.000000000e+00,7.581631038e-01
450,20,4.942851330e-01,-8.091786235e-04,4.942851330e-01,4.942844706e-01,0.000000000e+00,4.942844706e-01
450,25,3.389033201e-01,-1.074908026e-03,3.389033201e-01,3.389016155e-01,0.000000000e+00,3.389016155e-01
450,30,2.417424999e-01,-1.235970910e-03,2.417424999e-01,2.417393402e-01,0.000000000e+00,2.417393402e-01
450,35,1.780453825e-01,-1.301608022e-03,1.780453825e-01,1.780406247e-01,0.000000000e+00,1.780406247e-01
450,40,1.347639007e-01,-1.301600561e-03,1.347639007e-01,1.347576149e-01,0.000000000e+00,1.347576149e-01
450,45,1.044975860e-01,-1.264278564e-03,1.044975860e-01,1.044899377e-01,0.000000000e+00,1.044899377e-01
450,50,8.281143812e-02,-1.208462145e-03,8.281143812e-02,8.280262015e-02,0.000000000e+00,8.280262015e-02
